SaleKey,DateKey,ProductKey,BranchKey,EmployeeKey,Quantity,UnitPrice,DiscountRate,TotalAmount,CostAmount,ProfitAmount,OrderStatus,PaymentMethod,Date,UnitCost
28,17,709,3,72,6,236.06,0.0,1416.3600000000001,1182,234.36000000000013,مكتمل,أبل باي,2024-01-17,197
29,536,359,4,98,7,193.47,0.1,1218.861,1043,175.8610000000001,مكتمل,مدى,2025-06-19,149
30,215,121,3,44,2,92.23,0.0,184.46,128,56.46000000000001,مكتمل,أبل باي,2024-08-02,64
31,431,315,5,91,12,194.57,0.0,2334.84,1740,594.8400000000001,مكتمل,نقدي,2025-03-06,145
32,398,149,1,123,7,455.54,0.0,3188.78,2709,479.7800000000002,مكتمل,نقدي,2025-02-01,387
33,433,425,1,19,11,341.45,0.2,3004.76,2926,78.76000000000022,مكتمل,مدى,2025-03-08,266
34,444,449,1,4,14,228.29,0.0,3196.06,2352,844.06,مكتمل,بطاقة,2025-03-19,168
35,444,546,3,44,11,584.4,0.0,6428.4,4554,1874.3999999999996,مكتمل,نقدي,2025-03-19,414
36,121,633,5,75,11,37.32,0.2,328.416,341,-12.584000000000003,مكتمل,نقدي,2024-04-30,31
37,74,790,3,44,2,231.43,0.05,439.717,402,37.716999999999985,مكتمل,مدى,2024-03-14,201
38,30,416,2,67,10,473.05,0.15,4020.9249999999997,3320,700.9249999999997,مكتمل,بطاقة,2024-01-30,332
39,358,319,5,75,3,648.21,0.0,1944.63,1473,471.6300000000001,مكتمل,مدى,2024-12-23,491
40,277,324,3,72,9,165.18,0.15,1263.6270000000002,1026,237.62700000000018,مكتمل,بطاقة,2024-10-03,114
41,122,745,3,72,3,493.93,0.15,1259.5214999999998,1155,104.52149999999983,مكتمل,تمارا,2024-05-01,385
42,108,752,2,97,7,277.31,0.15,1649.9945,1666,-16.005499999999984,مكتمل,بطاقة,2024-04-17,238
43,206,618,2,97,4,69.94,0.15,237.796,196,41.79599999999999,مكتمل,أبل باي,2024-07-24,49
44,286,457,1,118,1,50.0,0.1,45.0,305,-260.0,مكتمل,بطاقة,2024-10-12,305
45,453,60,1,19,7,392.78,0.2,2199.568,2366,-166.4319999999998,مكتمل,تمارا,2025-03-28,338
46,195,155,3,44,3,361.46,0.0,1084.3799999999999,909,175.37999999999988,مكتمل,نقدي,2024-07-13,303
47,181,109,4,98,6,563.97,0.2,2707.0560000000005,2562,145.0560000000005,مكتمل,مدى,2024-06-29,427
48,200,553,2,111,3,291.04,0.15,742.152,657,85.15200000000004,مكتمل,تمارا,2024-07-18,219
49,234,743,2,65,6,587.16,0.0,3522.96,2538,984.96,مكتمل,بطاقة,2024-08-21,423
50,72,481,3,44,8,186.87,0.2,1195.968,1072,123.96800000000007,مكتمل,مدى,2024-03-12,134
51,444,784,1,19,7,419.68,0.05,2790.8720000000003,2072,718.8720000000003,مكتمل,مدى,2025-03-19,296
52,311,186,1,112,10,79.44,0.0,794.4,550,244.39999999999998,مكتمل,بطاقة,2024-11-06,55
53,443,138,3,44,14,174.44,0.2,1953.728,1736,217.72800000000007,مكتمل,بطاقة,2025-03-18,124
54,169,164,3,44,2,162.52,0.0,325.04,244,81.04000000000002,مكتمل,أبل باي,2024-06-17,122
55,60,716,3,72,8,262.31,0.2,1678.784,1784,-105.2159999999999,مكتمل,بطاقة,2024-02-29,223
56,253,344,4,98,4,517.85,0.0,2071.4,1788,283.4000000000001,مكتمل,أبل باي,2024-09-09,447
57,375,587,1,93,7,507.95,0.0,3555.65,2499,1056.65,مكتمل,أبل باي,2025-01-09,357
58,135,359,3,72,5,193.47,0.0,967.35,745,222.35000000000002,مكتمل,مدى,2024-05-14,149
59,380,607,2,126,1,348.77,0.0,348.77,260,88.76999999999998,مكتمل,بطاقة,2025-01-14,260
60,536,666,5,91,2,475.69,0.0,951.38,750,201.38,مكتمل,بطاقة,2025-06-19,375
61,546,121,5,75,3,92.23,0.1,249.02100000000002,192,57.021000000000015,مكتمل,نقدي,2025-06-29,64
62,448,406,2,84,12,143.44,0.05,1635.216,1236,399.2159999999999,مكتمل,بطاقة,2025-03-23,103
63,75,347,3,44,-2,50.0,0.0,-100.0,-318,218.0,مسترجع,أبل باي,2024-03-15,159
64,463,679,2,9,5,595.75,0.15,2531.9375,2450,81.9375,مكتمل,بطاقة,2025-04-07,490
65,499,111,3,44,9,329.3,0.2,2370.9600000000005,2313,57.96000000000049,مكتمل,تمارا,2025-05-13,257
66,234,700,4,36,2,158.01,0.0,316.02,252,64.01999999999998,مكتمل,بطاقة,2024-08-21,126
67,30,58,1,12,5,59.39,0.1,267.255,230,37.254999999999995,مكتمل,أبل باي,2024-01-30,46
68,448,442,5,75,11,162.68,0.15,1521.058,1364,157.058,مكتمل,بطاقة,2025-03-23,124
69,297,126,2,84,1,435.78,0.15,370.41299999999995,327,43.412999999999954,مكتمل,نقدي,2024-10-23,327
70,61,49,3,44,8,11.46,0.1,82.51200000000001,64,18.512000000000015,مكتمل,أبل باي,2024-03-01,8
71,44,93,2,64,8,14.54,0.05,110.50399999999999,88,22.50399999999999,مكتمل,مدى,2024-02-13,11
72,260,577,2,26,3,57.62,0.15,146.93099999999998,129,17.930999999999983,مكتمل,أبل باي,2024-09-16,43
73,271,687,2,17,5,660.6,0.15,2807.5499999999997,2375,432.5499999999997,مكتمل,تمارا,2024-09-27,475
74,338,701,4,90,1,585.96,0.1,527.364,498,29.364000000000033,مكتمل,نقدي,2024-12-03,498
75,324,620,1,94,8,437.16,0.1,3147.552,2936,211.55200000000013,مكتمل,نقدي,2024-11-19,367
76,94,785,1,63,5,446.72,0.05,2121.92,1855,266.9200000000001,مكتمل,أبل باي,2024-04-03,371
77,177,197,1,19,7,324.44,0.2,1816.864,1918,-101.13599999999997,مكتمل,نقدي,2024-06-25,274
78,508,614,3,44,9,365.85,0.05,3128.0175,2511,617.0174999999999,مكتمل,نقدي,2025-05-22,279
79,468,271,3,44,5,121.61,0.15,516.8425,445,71.84249999999997,مكتمل,تمارا,2025-04-12,89
80,9,726,2,97,4,501.98,0.0,2007.92,1424,583.9200000000001,مكتمل,نقدي,2024-01-09,356
81,493,527,1,81,6,589.18,0.1,3181.572,2454,727.5720000000001,مكتمل,مدى,2025-05-07,409
82,492,614,1,63,6,365.85,0.05,2085.3450000000003,1674,411.34500000000025,مكتمل,بطاقة,2025-05-06,279
83,298,771,4,116,7,432.96,0.0,3030.72,2618,412.7199999999998,مكتمل,نقدي,2024-10-24,374
84,43,521,3,72,8,331.21,0.0,2649.68,2288,361.67999999999984,مكتمل,بطاقة,2024-02-12,286
85,237,699,1,94,1,83.0,0.2,66.4,58,8.400000000000006,مكتمل,أبل باي,2024-08-24,58
86,408,210,4,90,2,74.16,0.15,126.07199999999999,108,18.07199999999999,مكتمل,نقدي,2025-02-11,54
87,32,34,2,126,10,154.06,0.1,1386.54,1290,96.53999999999996,مكتمل,مدى,2024-02-01,129
88,249,596,5,55,9,559.0,0.1,4527.900000000001,3609,918.9000000000005,مكتمل,أبل باي,2024-09-05,401
89,420,241,2,111,10,147.86,0.15,1256.8100000000002,1040,216.81000000000017,مكتمل,نقدي,2025-02-23,104
90,439,97,2,67,8,69.51,0.1,500.47200000000004,384,116.47200000000004,مكتمل,بطاقة,2025-03-14,48
91,117,666,5,38,11,475.69,0.0,5232.59,4125,1107.5900000000001,مكتمل,نقدي,2024-04-26,375
92,254,714,5,38,8,184.64,0.0,1477.12,1192,285.1199999999999,مكتمل,أبل باي,2024-09-10,149
93,391,285,1,63,4,87.11,0.0,348.44,300,48.44,مكتمل,مدى,2025-01-25,75
94,542,420,4,95,5,485.88,0.0,2429.4,1765,664.4000000000001,مكتمل,مدى,2025-06-25,353
95,172,564,1,105,3,455.69,0.2,1093.656,1176,-82.34400000000005,مكتمل,مدى,2024-06-20,392
96,119,408,3,72,7,506.55,0.1,3191.265,2863,328.2649999999999,مكتمل,أبل باي,2024-04-28,409
97,40,408,2,26,9,506.55,0.05,4331.0025,3681,650.0024999999996,مكتمل,أبل باي,2024-02-09,409
98,524,523,2,89,1,572.07,0.1,514.863,412,102.86300000000006,مكتمل,بطاقة,2025-06-07,412
99,306,556,1,105,6,375.48,0.0,2252.88,1932,320.8800000000001,مكتمل,نقدي,2024-11-01,322
100,347,126,3,44,7,435.78,0.2,2440.368,2289,151.36799999999994,مكتمل,نقدي,2024-12-12,327
101,463,520,3,44,13,354.51,0.0,4608.63,3809,799.6300000000001,مكتمل,بطاقة,2025-04-07,293
102,447,135,1,94,14,443.54,0.0,6209.56,4788,1421.5600000000004,مكتمل,مدى,2025-03-22,342
103,393,156,4,36,3,398.88,0.0,1196.6399999999999,1038,158.63999999999987,مكتمل,مدى,2025-01-27,346
104,70,611,2,97,1,45.01,0.15,38.2585,39,-0.741500000000002,مكتمل,أبل باي,2024-03-10,39
105,173,234,5,75,7,61.98,0.05,412.1669999999999,308,104.16699999999992,مكتمل,نقدي,2024-06-21,44
106,336,651,4,54,10,528.84,0.2,4230.72,3990,240.72000000000025,مكتمل,مدى,2024-12-01,399
107,226,178,2,103,4,385.6,0.05,1465.28,1268,197.27999999999997,مكتمل,نقدي,2024-08-13,317
108,307,140,2,9,1,477.38,0.0,477.38,344,133.38,مكتمل,تمارا,2024-11-02,344
109,115,159,3,44,3,334.05,0.05,952.0425,714,238.04250000000002,مكتمل,مدى,2024-04-24,238
110,103,575,4,98,2,460.01,0.0,920.02,738,182.01999999999998,مكتمل,نقدي,2024-04-12,369
111,262,2,3,72,9,544.65,0.05,4656.7575,3888,768.7574999999997,مكتمل,نقدي,2024-09-18,432
112,65,247,2,111,11,405.82,0.2,3571.216,3586,-14.784000000000106,مكتمل,بطاقة,2024-03-05,326
113,370,755,4,98,2,581.57,0.05,1104.983,900,204.98299999999995,مكتمل,بطاقة,2025-01-04,450
114,444,90,1,41,14,227.52,0.1,2866.7520000000004,2646,220.7520000000004,مكتمل,نقدي,2025-03-19,189
115,39,8,3,44,9,597.34,0.0,5376.06,4302,1074.0600000000004,مكتمل,بطاقة,2024-02-08,478
116,426,443,4,90,2,186.7,0.0,373.4,306,67.39999999999998,مكتمل,مدى,2025-03-01,153
117,311,579,1,66,12,317.04,0.0,3804.4800000000005,3048,756.4800000000005,مكتمل,تمارا,2024-11-06,254
118,204,219,2,67,6,195.96,0.2,940.6080000000001,864,76.60800000000006,مكتمل,نقدي,2024-07-22,144
119,67,525,3,72,7,516.61,0.1,3254.643,2863,391.64300000000003,مكتمل,مدى,2024-03-07,409
120,310,714,3,44,4,184.64,0.05,701.632,596,105.63199999999995,مكتمل,تمارا,2024-11-05,149
121,390,550,1,66,6,569.22,0.2,2732.2560000000003,2526,206.2560000000003,مكتمل,مدى,2025-01-24,421
122,338,170,3,72,1,581.39,0.2,465.112,472,-6.887999999999977,مكتمل,نقدي,2024-12-03,472
123,543,471,5,22,1,307.33,0.0,307.33,255,52.329999999999984,مكتمل,نقدي,2025-06-26,255
124,102,416,1,66,13,473.05,0.15,5227.2025,4316,911.2025000000003,مكتمل,مدى,2024-04-11,332
125,105,188,3,72,10,96.13,0.0,961.3,670,291.29999999999995,مكتمل,مدى,2024-04-14,67
126,374,309,4,54,1,326.39,0.2,261.112,259,2.112000000000023,مكتمل,مدى,2025-01-08,259
127,435,181,1,105,1,601.87,0.0,601.87,459,142.87,مكتمل,نقدي,2025-03-10,459
128,154,299,1,118,4,208.25,0.0,833.0,700,133.0,مكتمل,بطاقة,2024-06-02,175
129,379,18,1,112,2,315.13,0.0,630.26,532,98.25999999999999,مكتمل,مدى,2025-01-13,266
130,308,630,3,72,7,697.99,0.2,3908.7440000000006,3472,436.7440000000006,مكتمل,مدى,2024-11-03,496
131,507,437,1,94,1,278.0,0.0,278.0,199,79.0,مكتمل,مدى,2025-05-21,199
132,444,545,3,72,8,135.69,0.0,1085.52,880,205.51999999999998,مكتمل,تمارا,2025-03-19,110
133,153,622,4,90,5,50.0,0.05,237.5,345,-107.5,مكتمل,أبل باي,2024-06-01,69
134,436,498,4,116,11,304.84,0.1,3017.9159999999997,2585,432.9159999999997,مكتمل,بطاقة,2025-03-11,235
135,479,414,1,105,5,48.61,0.15,206.5925,180,26.5925,مكتمل,أبل باي,2025-04-23,36
136,408,383,2,84,9,251.61,0.0,2264.4900000000002,1674,590.4900000000002,مكتمل,بطاقة,2025-02-11,186
137,192,432,1,105,4,583.05,0.0,2332.2,1844,488.1999999999998,مكتمل,نقدي,2024-07-10,461
138,189,236,2,89,3,622.47,0.0,1867.41,1497,370.4100000000001,مكتمل,مدى,2024-07-07,499
139,56,540,5,38,4,487.9,0.15,1658.86,1404,254.8599999999999,مكتمل,بطاقة,2024-02-25,351
140,207,270,1,123,7,99.49,0.0,696.43,581,115.42999999999995,مكتمل,نقدي,2024-07-25,83
141,335,731,5,75,12,453.34,0.0,5440.08,4248,1192.08,مكتمل,مدى,2024-11-30,354
142,252,523,1,63,10,572.07,0.0,5720.700000000001,4120,1600.7000000000007,مكتمل,تمارا,2024-09-08,412
143,532,298,4,95,2,511.91,0.2,819.056,760,59.05600000000004,مكتمل,بطاقة,2025-06-15,380
144,448,624,1,12,1,188.23,0.1,169.40699999999998,144,25.406999999999982,مكتمل,بطاقة,2025-03-23,144
146,88,757,5,91,11,235.31,0.0,2588.41,2222,366.40999999999985,مكتمل,نقدي,2024-03-28,202
147,522,628,1,5,4,304.95,0.0,1219.8,1060,159.79999999999995,مكتمل,بطاقة,2025-06-05,265
149,329,454,2,103,7,612.91,0.0,4290.37,3339,951.3699999999999,مكتمل,بطاقة,2024-11-24,477
150,284,139,1,94,4,336.31,0.2,1076.192,988,88.19200000000001,مكتمل,بطاقة,2024-10-10,247
151,271,468,1,123,7,341.95,0.0,2393.65,1820,573.6500000000001,مكتمل,تمارا,2024-09-27,260
152,148,10,1,12,7,430.4,0.05,2862.1599999999994,2548,314.1599999999994,مكتمل,أبل باي,2024-05-27,364
153,250,577,3,72,8,57.62,0.0,460.96,344,116.95999999999998,مكتمل,أبل باي,2024-09-06,43
154,268,106,1,112,3,566.05,0.0,1698.1499999999999,1224,474.14999999999986,مكتمل,بطاقة,2024-09-24,408
155,462,103,4,95,7,51.47,0.0,360.28999999999996,301,59.289999999999964,مكتمل,مدى,2025-04-06,43
156,510,278,5,55,1,41.61,0.05,39.5295,31,8.529499999999999,مكتمل,أبل باي,2025-05-24,31
157,19,212,5,91,10,270.06,0.15,2295.5099999999998,2150,145.50999999999976,مكتمل,نقدي,2024-01-19,215
158,237,385,4,90,6,702.19,0.05,4002.483,2922,1080.4830000000002,مكتمل,بطاقة,2024-08-24,487
159,132,666,1,41,8,475.69,0.15,3234.692,3000,234.692,مكتمل,أبل باي,2024-05-11,375
160,272,366,3,72,10,466.57,0.1,4199.13,3910,289.1300000000001,مكتمل,تمارا,2024-09-28,391
161,479,372,1,19,7,487.41,0.0,3411.8700000000003,2954,457.87000000000035,مكتمل,مدى,2025-04-23,422
162,344,427,3,72,8,519.34,0.2,3323.7760000000003,3344,-20.223999999999705,مكتمل,بطاقة,2024-12-09,418
163,485,489,3,72,3,39.96,0.0,119.88,84,35.879999999999995,مكتمل,نقدي,2025-04-29,28
164,114,272,1,112,2,455.53,0.0,911.06,746,165.05999999999995,مكتمل,نقدي,2024-04-23,373
165,343,514,1,93,1,556.99,0.0,556.99,446,110.99000000000001,مكتمل,مدى,2024-12-08,446
166,35,111,5,55,10,329.3,0.0,3293.0,2570,723.0,مكتمل,تمارا,2024-02-04,257
167,182,247,2,26,3,405.82,0.05,1156.587,978,178.587,مكتمل,نقدي,2024-06-30,326
169,533,584,2,64,6,625.9,0.05,3567.6299999999997,2772,795.6299999999997,مكتمل,تمارا,2025-06-16,462
170,291,640,2,89,8,247.64,0.15,1683.9519999999998,1712,-28.04800000000023,مكتمل,أبل باي,2024-10-17,214
171,122,693,2,97,9,396.56,0.0,3569.04,2628,941.04,مكتمل,بطاقة,2024-05-01,292
172,67,96,1,81,7,38.26,0.0,267.82,224,43.81999999999999,مكتمل,نقدي,2024-03-07,32
173,88,566,1,123,4,26.98,0.0,107.92,84,23.92,مكتمل,مدى,2024-03-28,21
174,43,533,3,72,5,248.4,0.0,1242.0,980,262.0,مكتمل,أبل باي,2024-02-12,196
175,189,8,3,72,2,597.34,0.05,1134.946,956,178.9459999999999,مكتمل,بطاقة,2024-07-07,478
176,483,774,1,112,9,458.59,0.2,3301.848,2979,322.84799999999996,مكتمل,بطاقة,2025-04-27,331
178,224,575,3,72,4,460.01,0.0,1840.04,1476,364.03999999999996,مكتمل,نقدي,2024-08-11,369
179,11,690,1,81,10,656.79,0.05,6239.504999999999,4870,1369.5049999999992,مكتمل,مدى,2024-01-11,487
180,267,22,1,12,1,483.12,0.1,434.808,344,90.80799999999999,مكتمل,تمارا,2024-09-23,344
181,539,133,1,112,5,563.32,0.15,2394.11,2210,184.11000000000013,مكتمل,نقدي,2025-06-22,442
182,87,235,1,63,9,493.87,0.0,4444.83,3312,1132.83,مكتمل,بطاقة,2024-03-27,368
183,237,755,2,111,1,581.57,0.0,581.57,450,131.57000000000005,مكتمل,أبل باي,2024-08-24,450
184,350,287,1,118,7,50.0,0.0,350.0,3276,-2926.0,مكتمل,نقدي,2024-12-15,468
185,366,271,4,95,-1,121.61,0.0,-121.61,-89,-32.61,مسترجع,مدى,2024-12-31,89
186,18,481,2,26,1,186.87,0.0,186.87,134,52.870000000000005,مكتمل,أبل باي,2024-01-18,134
187,258,225,2,68,7,56.66,0.15,337.127,322,15.12700000000001,مكتمل,تمارا,2024-09-14,46
188,163,787,1,4,6,154.38,0.1,833.652,672,161.65200000000004,مكتمل,بطاقة,2024-06-11,112
189,418,392,1,4,4,396.78,0.0,1587.12,1168,419.1199999999999,مكتمل,بطاقة,2025-02-21,292
190,165,299,1,94,1,208.25,0.05,197.83749999999998,175,22.837499999999977,مكتمل,نقدي,2024-06-13,175
191,159,749,1,81,7,47.25,0.0,330.75,266,64.75,مكتمل,نقدي,2024-06-07,38
192,425,98,1,105,10,418.58,0.0,4185.8,3150,1035.8000000000002,مكتمل,تمارا,2025-02-28,315
193,407,64,3,72,3,50.0,0.15,127.5,1116,-988.5,مكتمل,نقدي,2025-02-10,372
194,201,342,2,84,4,361.27,0.2,1156.064,1208,-51.93599999999992,مكتمل,مدى,2024-07-19,302
195,427,409,1,63,4,594.34,0.0,2377.36,1772,605.3600000000001,مكتمل,بطاقة,2025-03-02,443
196,376,319,2,84,8,648.21,0.0,5185.68,3928,1257.6800000000003,مكتمل,مدى,2025-01-10,491
197,484,509,2,64,13,176.13,0.2,1831.7520000000002,1846,-14.24799999999982,مكتمل,نقدي,2025-04-28,142
198,110,320,1,123,6,618.03,0.1,3337.362,2940,397.3620000000001,مكتمل,نقدي,2024-04-19,490
199,540,411,3,44,1,310.52,0.1,279.468,249,30.468000000000018,مكتمل,أبل باي,2025-06-23,249
201,520,596,2,17,7,559.0,0.0,3913.0,2807,1106.0,مكتمل,مدى,2025-06-03,401
202,15,566,1,105,2,26.98,0.0,53.96,42,11.96,مكتمل,نقدي,2024-01-15,21
203,293,215,4,36,8,167.1,0.0,1336.8,952,384.79999999999995,مكتمل,مدى,2024-10-19,119
204,453,712,4,95,12,99.12,0.1,1070.496,1020,50.496000000000095,مكتمل,بطاقة,2025-03-28,85
205,516,656,2,103,2,451.83,0.0,903.66,738,165.65999999999997,مكتمل,بطاقة,2025-05-30,369
206,410,86,2,68,1,162.15,0.0,162.15,133,29.150000000000006,مكتمل,تمارا,2025-02-13,133
207,34,400,2,111,1,119.88,0.2,95.904,94,1.9039999999999964,مكتمل,مدى,2024-02-03,94
208,199,329,3,44,2,322.58,0.1,580.644,530,50.644000000000005,مكتمل,مدى,2024-07-17,265
209,133,203,2,26,9,434.14,0.15,3321.171,2916,405.1709999999998,مكتمل,مدى,2024-05-12,324
210,47,604,1,66,2,483.16,0.2,773.056,684,89.05600000000004,مكتمل,بطاقة,2024-02-16,342
211,221,720,2,67,1,358.35,0.0,358.35,283,75.35000000000002,مكتمل,مدى,2024-08-08,283
212,156,712,2,17,6,99.12,0.1,535.248,510,25.248000000000047,مكتمل,بطاقة,2024-06-04,85
213,542,351,2,126,4,97.85,0.05,371.83,284,87.82999999999998,مكتمل,بطاقة,2025-06-25,71
214,480,660,3,44,13,50.37,0.1,589.329,468,121.32899999999995,مكتمل,أبل باي,2025-04-24,36
215,211,275,5,55,5,646.03,0.05,3068.6424999999995,2445,623.6424999999995,مكتمل,نقدي,2024-07-29,489
216,42,308,1,94,1,665.3,0.1,598.77,463,135.76999999999998,مكتمل,أبل باي,2024-02-11,463
217,362,240,1,19,6,106.74,0.0,640.4399999999999,546,94.43999999999994,مكتمل,تمارا,2024-12-27,91
218,509,599,4,98,9,116.93,0.1,947.1330000000002,738,209.13300000000015,مكتمل,نقدي,2025-05-23,82
219,7,386,1,12,3,487.42,0.0,1462.26,1074,388.26,مكتمل,مدى,2024-01-07,358
220,52,325,1,5,10,104.03,0.05,988.2849999999999,740,248.28499999999985,مكتمل,بطاقة,2024-02-21,74
221,302,351,1,118,8,97.85,0.0,782.8,568,214.79999999999995,مكتمل,أبل باي,2024-10-28,71
222,513,102,3,72,1,188.74,0.15,160.429,140,20.429000000000002,مكتمل,بطاقة,2025-05-27,140
223,211,363,4,90,4,53.17,0.05,202.046,168,34.04599999999999,مكتمل,نقدي,2024-07-29,42
224,515,706,4,98,1,574.96,0.15,488.716,408,80.71600000000001,مكتمل,بطاقة,2025-05-29,408
225,513,45,2,65,9,155.58,0.1,1260.198,1107,153.1980000000001,مكتمل,مدى,2025-05-27,123
226,280,54,1,105,7,594.79,0.05,3955.3534999999997,3283,672.3534999999997,مكتمل,مدى,2024-10-06,469
227,84,468,1,41,9,341.95,0.0,3077.5499999999997,2340,737.5499999999997,مكتمل,نقدي,2024-03-24,260
228,15,53,3,72,5,561.24,0.0,2806.2,2175,631.1999999999998,مكتمل,بطاقة,2024-01-15,435
229,228,143,3,72,6,274.8,0.0,1648.8000000000002,1428,220.80000000000018,مكتمل,مدى,2024-08-15,238
230,505,668,1,112,9,50.0,0.0,450.0,2097,-1647.0,مكتمل,بطاقة,2025-05-19,233
231,301,743,2,89,2,587.16,0.0,1174.32,846,328.31999999999994,مكتمل,بطاقة,2024-10-27,423
232,180,347,2,65,7,50.0,0.15,297.5,1113,-815.5,مكتمل,بطاقة,2024-06-28,159
233,296,669,5,75,10,174.74,0.0,1747.4,1300,447.4000000000001,مكتمل,تمارا,2024-10-22,130
234,395,743,1,63,3,587.16,0.2,1409.1840000000002,1269,140.1840000000002,مكتمل,نقدي,2025-01-29,423
235,78,262,3,44,7,234.77,0.0,1643.39,1141,502.3900000000001,مكتمل,أبل باي,2024-03-18,163
236,246,512,2,2,6,386.77,0.0,2320.62,1920,400.6199999999999,مكتمل,بطاقة,2024-09-02,320
237,377,279,2,84,8,77.71,0.1,559.512,456,103.51199999999994,مكتمل,نقدي,2025-01-11,57
238,464,21,3,72,13,57.39,0.15,634.1595,520,114.15949999999998,مكتمل,بطاقة,2025-04-08,40
239,413,214,1,118,10,76.76,0.0,767.6,580,187.60000000000002,مكتمل,مدى,2025-02-16,58
240,69,420,1,105,7,485.88,0.15,2890.986,2471,419.9859999999999,مكتمل,مدى,2024-03-09,353
241,145,22,4,90,-7,483.12,0.0,-3381.84,-2408,-973.8400000000001,مسترجع,مدى,2024-05-24,344
242,155,341,3,72,7,417.9,0.1,2632.77,2233,399.77,مكتمل,نقدي,2024-06-03,319
243,389,607,5,22,1,348.77,0.0,348.77,260,88.76999999999998,مكتمل,بطاقة,2025-01-23,260
244,356,166,2,2,6,624.96,0.15,3187.2960000000003,2802,385.2960000000003,مكتمل,مدى,2024-12-21,467
245,436,543,1,41,1,436.36,0.15,370.906,341,29.906000000000006,مكتمل,بطاقة,2025-03-11,341
246,17,33,5,91,5,432.52,0.0,2162.6,1635,527.5999999999999,مكتمل,أبل باي,2024-01-17,327
247,31,94,3,72,9,142.53,0.15,1090.3545,891,199.35449999999992,مكتمل,مدى,2024-01-31,99
248,193,260,1,94,-2,527.05,0.05,-1001.3949999999999,-750,-251.39499999999987,مسترجع,تمارا,2024-07-11,375
249,412,586,2,17,4,109.0,0.15,370.59999999999997,340,30.599999999999966,مكتمل,مدى,2025-02-15,85
250,237,146,4,90,6,581.68,0.0,3490.08,2664,826.0799999999999,مكتمل,تمارا,2024-08-24,444
251,260,710,4,98,3,65.07,0.0,195.20999999999998,156,39.20999999999998,مكتمل,مدى,2024-09-16,52
252,381,197,3,72,3,324.44,0.15,827.3219999999999,822,5.321999999999889,مكتمل,بطاقة,2025-01-15,274
