SaleKey,DateKey,ProductKey,BranchKey,EmployeeKey,Quantity,UnitPrice,DiscountRate,TotalAmount,CostAmount,ProfitAmount,OrderStatus,PaymentMethod
65,499.0,111,3,44,9,329.3,0.2,2370.96,2313,57.96,مكتمل,تمارا
66,234.0,700,4,36,2,158.01,0.0,316.02,252,64.02,مكتمل,بطاقة
67,30.0,58,1,12,5,59.39,0.1,267.25,230,37.25,مكتمل,أبل باي
68,448.0,442,5,75,11,162.68,0.15,1521.08,1364,157.08,مكتمل,بطاقة
69,297.0,126,2,84,1,435.78,0.15,370.41,327,43.41,مكتمل,نقدي
70,61.0,49,3,44,8,11.46,0.1,82.48,64,18.48,مكتمل,أبل باي
71,44.0,93,2,64,8,14.54,0.05,110.48,88,22.48,مكتمل,مدى
72,260.0,577,2,26,3,57.62,0.15,146.94,129,17.94,مكتمل,أبل باي
73,271.0,687,2,17,5,660.6,0.15,2807.55,2375,432.55,مكتمل,تمارا
74,338.0,701,4,90,1,585.96,0.1,527.36,498,29.36,مكتمل,نقدي
75,324.0,620,1,94,8,437.16,0.1,3147.52,2936,211.52,مكتمل,نقدي
76,94.0,785,1,63,5,446.72,0.05,2121.9,1855,266.9,مكتمل,أبل باي
77,177.0,197,1,19,7,324.44,0.2,1816.85,1918,-101.15,مكتمل,نقدي
78,508.0,614,3,44,9,365.85,0.05,3128.04,2511,617.04,مكتمل,نقدي
79,468.0,271,3,44,5,121.61,0.15,516.85,445,71.85,مكتمل,تمارا
80,9.0,726,2,97,4,501.98,0.0,2007.92,1424,583.92,مكتمل,نقدي
81,493.0,527,1,81,6,589.18,0.1,3181.56,2454,727.56,مكتمل,مدى
82,492.0,614,1,63,6,365.85,0.05,2085.36,1674,411.36,مكتمل,بطاقة
83,298.0,771,4,116,7,432.96,0.0,3030.72,2618,412.72,مكتمل,نقدي
84,43.0,521,3,72,8,331.21,0.0,2649.68,2288,361.68,مكتمل,بطاقة
85,237.0,699,1,94,1,83.0,0.2,66.4,58,8.4,مكتمل,أبل باي
86,408.0,210,4,90,2,74.16,0.15,126.08,108,18.08,مكتمل,نقدي
87,32.0,34,2,126,10,154.06,0.1,1386.5,1290,96.5,مكتمل,مدى
88,249.0,596,5,55,9,559.0,0.1,4527.9,3609,918.9,مكتمل,أبل باي
89,420.0,241,2,111,10,147.86,0.15,1256.8,1040,216.8,مكتمل,نقدي
90,439.0,97,2,67,8,69.51,0.1,500.48,384,116.48,مكتمل,بطاقة
91,117.0,666,5,38,11,475.69,0.0,5232.59,4125,1107.59,مكتمل,نقدي
92,254.0,714,5,38,8,184.64,0.0,1477.12,1192,285.12,مكتمل,أبل باي
93,391.0,285,1,63,4,87.11,0.0,348.44,300,48.44,مكتمل,مدى
94,542.0,420,4,95,5,485.88,0.0,2429.4,1765,664.4,مكتمل,مدى
95,172.0,564,1,105,3,455.69,0.2,1093.65,1176,-82.35,مكتمل,مدى
96,119.0,408,3,72,7,506.55,0.1,3191.3,2863,328.3,مكتمل,أبل باي
97,40.0,408,2,26,9,506.55,0.05,4330.98,3681,649.98,مكتمل,أبل باي
98,524.0,523,2,89,1,572.07,0.1,514.86,412,102.86,مكتمل,بطاقة
99,306.0,556,1,105,6,375.48,0.0,2252.88,1932,320.88,مكتمل,نقدي
100,347.0,126,3,44,7,435.78,0.2,2440.34,2289,151.34,مكتمل,نقدي
101,463.0,520,3,44,13,354.51,0.0,4608.63,3809,799.63,مكتمل,بطاقة
102,447.0,135,1,94,14,443.54,0.0,6209.56,4788,1421.56,مكتمل,مدى
103,393.0,156,4,36,3,398.88,0.0,1196.64,1038,158.64,مكتمل,مدى
104,70.0,611,2,97,1,45.01,0.15,38.26,39,-0.74,مكتمل,أبل باي
105,173.0,234,5,75,7,61.98,0.05,412.16,308,104.16,مكتمل,نقدي
106,336.0,651,4,54,10,528.84,0.2,4230.7,3990,240.7,مكتمل,مدى
107,226.0,178,2,103,4,385.6,0.05,1465.28,1268,197.28,مكتمل,نقدي
108,307.0,140,2,9,1,477.38,0.0,477.38,344,133.38,مكتمل,تمارا
109,115.0,159,3,44,3,334.05,0.05,952.05,714,238.05,مكتمل,مدى
110,103.0,575,4,98,2,460.01,0.0,920.02,738,182.02,مكتمل,نقدي
111,262.0,2,3,72,9,544.65,0.05,4656.78,3888,768.78,مكتمل,نقدي
112,65.0,247,2,111,11,405.82,0.2,3571.26,3586,-14.74,مكتمل,بطاقة
113,370.0,755,4,98,2,581.57,0.05,1104.98,900,204.98,مكتمل,بطاقة
114,444.0,90,1,41,14,227.52,0.1,2866.78,2646,220.78,مكتمل,نقدي
115,39.0,8,3,44,9,597.34,0.0,5376.06,4302,1074.06,مكتمل,بطاقة
116,426.0,443,4,90,2,186.7,0.0,373.4,306,67.4,مكتمل,مدى
117,311.0,579,1,66,12,317.04,0.0,3804.48,3048,756.48,مكتمل,تمارا
118,204.0,219,2,67,6,195.96,0.2,940.62,864,76.62,مكتمل,نقدي
119,67.0,525,3,72,7,516.61,0.1,3254.65,2863,391.65,مكتمل,مدى
120,310.0,714,3,44,4,184.64,0.05,701.64,596,105.64,مكتمل,تمارا
121,390.0,550,1,66,6,569.22,0.2,2732.28,2526,206.28,مكتمل,مدى
122,338.0,170,3,72,1,581.39,0.2,465.11,472,-6.89,مكتمل,نقدي
123,543.0,471,5,22,1,307.33,0.0,307.33,255,52.33,مكتمل,نقدي
124,102.0,416,1,66,13,473.05,0.15,5227.17,4316,911.17,مكتمل,مدى
125,105.0,188,3,72,10,96.13,0.0,961.3,670,291.3,مكتمل,مدى
126,374.0,309,4,54,1,326.39,0.2,261.11,259,2.11,مكتمل,مدى
127,435.0,181,1,105,1,601.87,0.0,601.87,459,142.87,مكتمل,نقدي
128,154.0,299,1,118,4,208.25,0.0,833.0,700,133.0,مكتمل,بطاقة
129,379.0,18,1,112,2,315.13,0.0,630.26,532,98.26,مكتمل,مدى
130,308.0,630,3,72,7,697.99,0.2,3908.73,3472,436.73,مكتمل,مدى
131,507.0,437,1,94,1,278.0,0.0,278.0,199,79.0,مكتمل,مدى
132,444.0,545,3,72,8,135.69,0.0,1085.52,880,205.52,مكتمل,تمارا
133,153.0,622,4,90,5,50.0,0.05,237.5,345,-107.5,مكتمل,أبل باي
134,436.0,498,4,116,11,304.84,0.1,3017.96,2585,432.96,مكتمل,بطاقة
135,479.0,414,1,105,5,48.61,0.15,206.6,180,26.6,مكتمل,أبل باي
136,408.0,383,2,84,9,251.61,0.0,2264.49,1674,590.49,مكتمل,بطاقة
137,192.0,432,1,105,4,583.05,0.0,2332.2,1844,488.2,مكتمل,نقدي
138,189.0,236,2,89,3,622.47,0.0,1867.41,1497,370.41,مكتمل,مدى
139,56.0,540,5,38,4,487.9,0.15,1658.88,1404,254.88,مكتمل,بطاقة
140,207.0,270,1,123,7,99.49,0.0,696.43,581,115.43,مكتمل,نقدي
141,335.0,731,5,75,12,453.34,0.0,5440.08,4248,1192.08,مكتمل,مدى
142,252.0,523,1,63,10,572.07,0.0,5720.7,4120,1600.7,مكتمل,تمارا
143,532.0,298,4,95,2,511.91,0.2,819.06,760,59.06,مكتمل,بطاقة
144,448.0,624,1,12,1,188.23,0.1,169.41,144,25.41,مكتمل,بطاقة
145,,544,2,65,9,312.0,0.2,2246.4,2115,131.4,مكتمل,نقدي
146,88.0,757,5,91,11,235.31,0.0,2588.41,2222,366.41,مكتمل,نقدي
147,522.0,628,1,5,4,304.95,0.0,1219.8,1060,159.8,مكتمل,بطاقة
148,,256,2,64,9,331.43,0.1,116602.11129429752,2061,623.61,مكتمل,نقدي
149,329.0,454,2,103,7,612.91,0.0,4290.37,3339,951.37,مكتمل,بطاقة
150,284.0,139,1,94,4,336.31,0.2,1076.2,988,88.2,مكتمل,بطاقة
151,271.0,468,1,123,7,341.95,0.0,2393.65,1820,573.65,مكتمل,تمارا
152,148.0,10,1,12,7,430.4,0.05,2862.16,2548,314.16,مكتمل,أبل باي
153,250.0,577,3,72,8,57.62,0.0,460.96,344,116.96,مكتمل,أبل باي
154,268.0,106,1,112,3,566.05,0.0,1698.15,1224,474.15,مكتمل,بطاقة
155,462.0,103,4,95,7,51.47,0.0,360.29,301,59.29,مكتمل,مدى
156,510.0,278,5,55,1,41.61,0.05,39.53,31,8.53,مكتمل,أبل باي
157,19.0,212,5,91,10,270.06,0.15,2295.5,2150,145.5,مكتمل,نقدي
158,237.0,385,4,90,6,702.19,0.05,4002.48,2922,1080.48,مكتمل,بطاقة
159,132.0,666,1,41,8,475.69,0.15,3234.72,3000,234.72,مكتمل,أبل باي
160,272.0,366,3,72,10,466.57,0.1,4199.1,3910,289.1,مكتمل,تمارا
161,479.0,372,1,19,7,487.41,0.0,3411.87,2954,457.87,مكتمل,مدى
162,344.0,427,3,72,8,519.34,0.2,3323.76,3344,-20.24,مكتمل,بطاقة
163,485.0,489,3,72,3,39.96,0.0,119.88,84,35.88,مكتمل,نقدي
164,114.0,272,1,112,2,455.53,0.0,911.06,746,165.06,مكتمل,نقدي
165,343.0,514,1,93,1,556.99,0.0,556.99,446,110.99,مكتمل,مدى
166,35.0,111,5,55,10,329.3,0.0,3293.0,2570,723.0,مكتمل,تمارا
167,182.0,247,2,26,3,405.82,0.05,1156.59,978,178.59,مكتمل,نقدي
168,,32,4,36,4,445.36,0.2,1425.16,1268,157.16,مكتمل,أبل باي
169,533.0,584,2,64,6,625.9,0.05,3567.6,2772,795.6,مكتمل,تمارا
170,291.0,640,2,89,8,247.64,0.15,1683.92,1712,-28.08,مكتمل,أبل باي
171,122.0,693,2,97,9,396.56,0.0,3569.04,2628,941.04,مكتمل,بطاقة
172,67.0,96,1,81,7,38.26,0.0,267.82,224,43.82,مكتمل,نقدي
173,88.0,566,1,123,4,26.98,0.0,107.92,84,23.92,مكتمل,مدى
174,43.0,533,3,72,5,248.4,0.0,1242.0,980,262.0,مكتمل,أبل باي
175,189.0,8,3,72,2,597.34,0.05,1134.94,956,178.94,مكتمل,بطاقة
176,483.0,774,1,112,9,458.59,0.2,3301.83,2979,322.83,مكتمل,بطاقة
177,,259,2,84,13,47.46,0.2,493.61,494,-0.39,مكتمل,بطاقة
178,224.0,575,3,72,4,460.01,0.0,1840.04,1476,364.04,مكتمل,نقدي
179,11.0,690,1,81,10,656.79,0.05,6239.5,4870,1369.5,مكتمل,مدى
180,267.0,22,1,12,1,483.12,0.1,434.81,344,90.81,مكتمل,تمارا
181,539.0,133,1,112,5,563.32,0.15,2394.1,2210,184.1,مكتمل,نقدي
182,87.0,235,1,63,9,493.87,0.0,4444.83,3312,1132.83,مكتمل,بطاقة
183,237.0,755,2,111,1,581.57,0.0,581.57,450,131.57,مكتمل,أبل باي
184,350.0,287,1,118,7,50.0,0.0,350.0,3276,-2926.0,مكتمل,نقدي
185,366.0,271,4,95,1,121.61,0.0,121.61,89,32.61,مسترجع,مدى
186,18.0,481,2,26,1,186.87,0.0,186.87,134,52.87,مكتمل,أبل باي
187,258.0,225,2,68,7,56.66,0.15,337.12,322,15.12,مكتمل,تمارا
188,163.0,787,1,4,6,154.38,0.1,833.64,672,161.64,مكتمل,بطاقة
189,418.0,392,1,4,4,396.78,0.0,1587.12,1168,419.12,مكتمل,بطاقة
190,165.0,299,1,94,1,208.25,0.05,197.84,175,22.84,مكتمل,نقدي
191,159.0,749,1,81,7,47.25,0.0,330.75,266,64.75,مكتمل,نقدي
192,425.0,98,1,105,10,418.58,0.0,4185.8,3150,1035.8,مكتمل,تمارا
193,407.0,64,3,72,3,50.0,0.15,127.5,1116,-988.5,مكتمل,نقدي
194,201.0,342,2,84,4,361.27,0.2,1156.08,1208,-51.92,مكتمل,مدى
195,427.0,409,1,63,4,594.34,0.0,2377.36,1772,605.36,مكتمل,بطاقة
196,376.0,319,2,84,8,648.21,0.0,5185.68,3928,1257.68,مكتمل,مدى
197,484.0,509,2,64,13,176.13,0.2,1831.7,1846,-14.3,مكتمل,نقدي
198,110.0,320,1,123,6,618.03,0.1,3337.38,2940,397.38,مكتمل,نقدي
199,540.0,411,3,44,1,310.52,0.1,279.47,249,30.47,مكتمل,أبل باي
200,581.0,780,1,5,-6,521.55,0.2,108733.25715787252,2640,-136.56,مكتمل,مدى
201,520.0,596,2,17,7,559.0,0.0,3913.0,2807,1106.0,مكتمل,مدى
202,15.0,566,1,105,2,26.98,0.0,53.96,42,11.96,مكتمل,نقدي
203,293.0,215,4,36,8,167.1,0.0,1336.8,952,384.8,مكتمل,مدى
204,453.0,712,4,95,12,99.12,0.1,1070.52,1020,50.52,مكتمل,بطاقة
205,516.0,656,2,103,2,451.83,0.0,903.66,738,165.66,مكتمل,بطاقة
206,410.0,86,2,68,1,162.15,0.0,162.15,133,29.15,مكتمل,تمارا
207,34.0,400,2,111,1,119.88,0.2,95.9,94,1.9,مكتمل,مدى
208,199.0,329,3,44,2,322.58,0.1,580.64,530,50.64,مكتمل,مدى
209,133.0,203,2,26,9,434.14,0.15,3321.18,2916,405.18,مكتمل,مدى
210,47.0,604,1,66,2,483.16,0.2,773.06,684,89.06,مكتمل,بطاقة
211,221.0,720,2,67,1,358.35,0.0,358.35,283,75.35,مكتمل,مدى
212,156.0,712,2,17,6,99.12,0.1,535.26,510,25.26,مكتمل,بطاقة
213,542.0,351,2,126,4,97.85,0.05,371.84,284,87.84,مكتمل,بطاقة
214,480.0,660,3,44,13,50.37,0.1,589.29,468,121.29,مكتمل,أبل باي
215,211.0,275,5,55,5,646.03,0.05,3068.65,2445,623.65,مكتمل,نقدي
216,42.0,308,1,94,1,665.3,0.1,598.77,463,135.77,مكتمل,أبل باي
217,362.0,240,1,19,6,106.74,0.0,640.44,546,94.44,مكتمل,تمارا
218,509.0,599,4,98,9,116.93,0.1,947.16,738,209.16,مكتمل,نقدي
219,7.0,386,1,12,3,487.42,0.0,1462.26,1074,388.26,مكتمل,مدى
220,52.0,325,1,5,10,104.03,0.05,988.3,740,248.3,مكتمل,بطاقة
221,302.0,351,1,118,8,97.85,0.0,782.8,568,214.8,مكتمل,أبل باي
222,513.0,102,3,72,1,188.74,0.15,160.43,140,20.43,مكتمل,بطاقة
223,211.0,363,4,90,4,53.17,0.05,202.04,168,34.04,مكتمل,نقدي
224,515.0,706,4,98,1,574.96,0.15,488.72,408,80.72,مكتمل,بطاقة
225,513.0,45,2,65,9,155.58,0.1,1260.18,1107,153.18,مكتمل,مدى
226,280.0,54,1,105,7,594.79,0.05,3955.35,3283,672.35,مكتمل,مدى
227,84.0,468,1,41,9,341.95,0.0,3077.55,2340,737.55,مكتمل,نقدي
228,15.0,53,3,72,5,561.24,0.0,2806.2,2175,631.2,مكتمل,بطاقة
229,228.0,143,3,72,6,274.8,0.0,1648.8,1428,220.8,مكتمل,مدى
230,505.0,668,1,112,9,50.0,0.0,450.0,2097,-1647.0,مكتمل,بطاقة
231,301.0,743,2,89,2,587.16,0.0,1174.32,846,328.32,مكتمل,بطاقة
232,180.0,347,2,65,7,50.0,0.15,297.5,1113,-815.5,مكتمل,بطاقة
233,296.0,669,5,75,10,174.74,0.0,1747.4,1300,447.4,مكتمل,تمارا
234,395.0,743,1,63,3,587.16,0.2,1409.19,1269,140.19,مكتمل,نقدي
235,78.0,262,3,44,7,234.77,0.0,1643.39,1141,502.39,مكتمل,أبل باي
236,246.0,512,2,2,6,386.77,0.0,2320.62,1920,400.62,مكتمل,بطاقة
237,377.0,279,2,84,8,77.71,0.1,559.52,456,103.52,مكتمل,نقدي
238,464.0,21,3,72,13,57.39,0.15,634.14,520,114.14,مكتمل,بطاقة
239,413.0,214,1,118,10,76.76,0.0,767.6,580,187.6,مكتمل,مدى
240,69.0,420,1,105,7,485.88,0.15,2891.0,2471,420.0,مكتمل,مدى
241,145.0,22,4,90,7,483.12,0.0,3381.84,2408,973.84,مسترجع,مدى
242,155.0,341,3,72,7,417.9,0.1,2632.77,2233,399.77,مكتمل,نقدي
243,389.0,607,5,22,1,348.77,0.0,348.77,260,88.77,مكتمل,بطاقة
244,356.0,166,2,2,6,624.96,0.15,3187.32,2802,385.32,مكتمل,مدى
245,436.0,543,1,41,1,436.36,0.15,370.91,341,29.91,مكتمل,بطاقة
246,17.0,33,5,91,5,432.52,0.0,2162.6,1635,527.6,مكتمل,أبل باي
247,31.0,94,3,72,9,142.53,0.15,1090.35,891,199.35,مكتمل,مدى
248,193.0,260,1,94,2,527.05,0.05,1001.4,750,251.4,مسترجع,تمارا
249,412.0,586,2,17,4,109.0,0.15,370.6,340,30.6,مكتمل,مدى
250,237.0,146,4,90,6,581.68,0.0,3490.08,2664,826.08,مكتمل,تمارا
251,260.0,710,4,98,3,65.07,0.0,195.21,156,39.21,مكتمل,مدى
252,381.0,197,3,72,3,324.44,0.15,827.31,822,5.31,مكتمل,بطاقة
253,306.0,446,5,55,9,194.74,0.15,1489.77,1422,67.77,مكتمل,أبل باي
254,122.0,297,5,38,4,184.14,0.0,736.56,536,200.56,مكتمل,نقدي
255,15.0,669,5,55,10,174.74,0.1,1572.7,1300,272.7,مكتمل,مدى
256,270.0,29,1,63,2,195.7,0.15,332.68,300,32.68,مكتمل,نقدي
257,532.0,510,4,116,4,279.84,0.0,1119.36,908,211.36,مكتمل,بطاقة
258,274.0,206,1,19,1,147.09,0.05,139.74,115,24.74,مكتمل,نقدي
259,277.0,447,1,19,4,566.4,0.2,1812.48,1884,-71.52,مكتمل,نقدي
260,486.0,477,5,91,10,364.39,0.15,3097.3,2770,327.3,مكتمل,بطاقة
261,235.0,439,1,118,1,437.59,0.1,393.83,343,50.83,مكتمل,بطاقة
262,184.0,663,2,103,7,150.6,0.1,948.78,742,206.78,مكتمل,مدى
263,,42,3,44,8,201.44,0.05,66495.00981785724,1168,362.96,مكتمل,نقدي
264,215.0,562,5,91,4,515.54,0.15,1752.84,1588,164.84,مكتمل,بطاقة
265,49.0,53,4,54,5,561.24,0.05,2665.9,2175,490.9,مكتمل,بطاقة
266,487.0,501,4,54,7,104.91,0.0,734.37,581,153.37,مكتمل,نقدي
267,201.0,151,2,68,5,541.11,0.0,2705.55,2335,370.55,مكتمل,نقدي
268,301.0,754,4,98,3,161.5,0.05,460.26,384,76.26,مكتمل,بطاقة
269,23.0,638,1,112,4,372.48,0.05,1415.44,1028,387.44,مكتمل,بطاقة
270,432.0,770,3,44,2,578.1,0.0,1156.2,830,326.2,مكتمل,بطاقة
271,218.0,567,2,103,4,89.87,0.15,305.56,260,45.56,مكتمل,مدى
272,176.0,410,5,91,4,62.24,0.0,248.96,196,52.96,مكتمل,تمارا
273,118.0,714,3,44,3,184.64,0.2,443.13,447,-3.87,مكتمل,أبل باي
274,266.0,333,1,41,8,506.59,0.0,4052.72,3184,868.72,مكتمل,نقدي
275,306.0,216,1,4,12,487.26,0.2,4677.72,4740,-62.28,مكتمل,بطاقة
276,511.0,587,4,36,10,507.95,0.05,4825.5,3570,1255.5,مكتمل,مدى
277,107.0,444,2,68,2,429.73,0.1,773.52,622,151.52,مكتمل,بطاقة
278,69.0,672,2,97,12,544.94,0.2,5231.4,4980,251.4,مكتمل,نقدي
279,297.0,706,1,63,1,574.96,0.0,574.96,408,166.96,مكتمل,مدى
280,405.0,323,4,90,2,622.33,0.0,1244.66,944,300.66,مكتمل,تمارا
281,527.0,308,1,94,7,665.3,0.1,4191.39,3241,950.39,مكتمل,نقدي
282,476.0,626,2,65,1,354.02,0.0,354.02,295,59.02,مكتمل,بطاقة
283,486.0,73,4,95,11,496.48,0.0,5461.28,4180,1281.28,مكتمل,نقدي
284,534.0,298,3,72,6,511.91,0.05,2917.86,2280,637.86,مكتمل,مدى
285,177.0,116,3,44,5,584.65,0.15,2484.75,2370,114.75,مكتمل,تمارا
286,325.0,311,5,75,12,512.96,0.2,4924.44,5112,-187.56,مكتمل,مدى
287,187.0,384,5,38,7,148.03,0.1,932.61,721,211.61,مكتمل,مدى
288,445.0,193,2,89,5,356.76,0.15,1516.25,1550,-33.75,مكتمل,نقدي
289,119.0,505,1,105,2,66.0,0.15,112.2,114,-1.8,مكتمل,أبل باي
290,332.0,448,5,22,7,41.81,0.0,292.67,203,89.67,مكتمل,مدى
291,243.0,215,1,112,3,167.1,0.0,501.3,357,144.3,مكتمل,بطاقة
292,471.0,350,2,111,1,463.44,0.0,463.44,372,91.44,مكتمل,بطاقة
293,,668,3,44,3,50.0,0.0,6515.030747164253,699,-549.0,مكتمل,بطاقة
294,349.0,515,3,44,3,598.66,0.05,1706.19,1335,371.19,مكتمل,بطاقة
295,422.0,364,4,95,7,438.73,0.15,2610.44,2268,342.44,مكتمل,مدى
296,103.0,733,3,72,11,366.8,0.1,3631.32,3179,452.32,مكتمل,مدى
297,161.0,384,2,9,2,148.03,0.0,296.06,206,90.06,مكتمل,بطاقة
298,507.0,578,2,126,3,478.59,0.1,1292.19,1164,128.19,مكتمل,نقدي
299,108.0,333,1,112,7,506.59,0.15,3014.2,2786,228.2,مكتمل,بطاقة
300,452.0,257,2,65,11,241.01,0.2,2120.91,2101,19.91,مكتمل,بطاقة
301,421.0,119,2,65,1,467.51,0.2,374.01,360,14.01,مكتمل,نقدي
302,532.0,524,2,84,2,195.62,0.0,391.24,320,71.24,مكتمل,بطاقة
303,158.0,335,4,90,2,215.12,0.2,344.2,362,-17.8,مكتمل,أبل باي
304,108.0,731,5,38,5,453.34,0.15,1926.7,1770,156.7,مكتمل,بطاقة
305,241.0,123,4,36,3,131.86,0.0,395.58,303,92.58,مكتمل,مدى
306,535.0,508,1,4,1,170.48,0.1,153.43,129,24.43,مكتمل,مدى
307,407.0,337,1,105,4,523.81,0.0,2095.24,1796,299.24,مكتمل,بطاقة
308,106.0,479,2,97,2,489.5,0.0,979.0,724,255.0,مكتمل,بطاقة
309,335.0,675,1,93,10,223.29,0.0,2232.9,1680,552.9,مكتمل,بطاقة
310,113.0,150,2,103,6,515.3,0.1,2782.62,2190,592.62,مكتمل,نقدي
311,510.0,367,3,72,1,29.09,0.0,29.09,25,4.09,مكتمل,تمارا
