ProductKey,ProductName,Category,SubCategory,UnitCost,UnitPrice,Supplier,StockQuantity,ReorderPoint,IsActive
53,Similique لابتوبات,إلكترونيات,لابتوبات,435,561.24,بقشان Ltd,65,99,True
54,Veritatis لابتوبات,إلكترونيات,لابتوبات,469,594.79,"الخرافي, الجابر and الراشد",288,23,True
55,Corrupti لابتوبات,إلكترونيات,لابتوبات,224,266.72,آل خضير LLC,236,43,True
56,Est لابتوبات,إلكترونيات,لابتوبات,199,248.39,"المغاولة, المهيدب and بن لادن",232,61,True
57,Voluptas لابتوبات,إلكترونيات,لابتوبات,455,575.0,"آل عواض, الشايع and الحجار",385,73,True
58,Mollitia لابتوبات,إلكترونيات,لابتوبات,46,59.39,مهنا-بن لادن,383,89,True
59,Voluptas لابتوبات,إلكترونيات,لابتوبات,492,617.45,"آل سلطان, الجفالي and آل العسكري",332,28,True
60,Perspiciatis لابتوبات,إلكترونيات,لابتوبات,338,392.78,آل مقطة Group,15,51,True
61,Blanditiis لابتوبات,إلكترونيات,لابتوبات,15,20.05,آل سلطان LLC,122,36,True
62,Ipsa لابتوبات,إلكترونيات,لابتوبات,63,83.11,العجلان-آل علي,111,79,True
63,Quasi لابتوبات,إلكترونيات,لابتوبات,397,500.49,الجفالي-العقيل,310,97,True
64,Consequatur لابتوبات,إلكترونيات,لابتوبات,372,,الشايع-أبو داوود,419,40,True
65,Atque سماعات,إلكترونيات,سماعات,60,79.42,آل بن ظافر-آل رفيع,475,59,True
66,Adipisci سماعات,إلكترونيات,سماعات,469,,فصيل-آل خضير,203,45,True
67,Veritatis سماعات,إلكترونيات,سماعات,358,,آل قصير PLC,124,33,True
68,Doloribus سماعات,إلكترونيات,سماعات,159,,"آل صفوان, الجابر and المهيدب",307,35,True
69,Nobis سماعات,إلكترونيات,سماعات,294,407.13,آل عواض-الخرافي,177,88,True
70,Suscipit سماعات,إلكترونيات,سماعات,194,227.11,آل عايض Ltd,331,63,False
71,Unde سماعات,إلكترونيات,سماعات,220,307.27,الخرافي-آل العسكري,54,75,True
72,Sint سماعات,إلكترونيات,سماعات,330,467.77,الشايع PLC,235,39,True
73,Nobis سماعات,إلكترونيات,سماعات,380,496.48,آل الشيخ-آل علي,333,54,True
74,Enim سماعات,إلكترونيات,سماعات,475,622.94,آل جعفر-بقشان,247,79,True
75,Corporis سماعات,إلكترونيات,سماعات,379,503.21,"آل عايض, الحجار and أبو داوود",165,51,True
76,Eius سماعات,إلكترونيات,سماعات,49,60.45,آل رفيع-آل محمد بن علي بن جماز,230,51,True
77,Velit سماعات,إلكترونيات,سماعات,296,394.6,المغاولة-شربتلي,194,63,False
78,Ipsam سماعات,إلكترونيات,سماعات,440,548.9,"الحكير, حنبولي and الخرافي",249,47,True
79,Repudiandae سماعات,إلكترونيات,سماعات,137,171.54,الجفالي LLC,450,96,True
80,Officia سماعات,إلكترونيات,سماعات,146,192.24,"آل عايض, مهنا and أبا الخيل",264,44,True
81,Sint سماعات,إلكترونيات,سماعات,373,474.43,"آل حسين, مهنا and آل سعود",284,50,True
82,Ipsam سماعات,إلكترونيات,سماعات,335,456.79,آل قصير LLC,229,22,True
83,Cum سماعات,إلكترونيات,سماعات,118,150.02,الحجار Ltd,124,59,True
84,Dicta سماعات,إلكترونيات,سماعات,193,249.35,"الحكير, الدباغ and حجار",271,64,True
85,Deserunt سماعات,إلكترونيات,سماعات,386,507.63,"الحكير, الراشد and آل عايض",180,78,True
86,Placeat سماعات,إلكترونيات,سماعات,133,162.15,"المهنا, فصيل and آل عايض",369,44,True
87,Quos سماعات,إلكترونيات,سماعات,385,504.64,العليان LLC,390,43,True
88,Deserunt سماعات,إلكترونيات,سماعات,383,496.08,أبو داوود Group,370,95,True
89,Sit سماعات,إلكترونيات,سماعات,273,362.83,الجفالي Inc,51,44,True
90,Placeat سماعات,إلكترونيات,سماعات,189,227.52,آل عطفة Group,7,88,True
91,Ratione سماعات,إلكترونيات,سماعات,28,40.38,"فصيل, العليان and الدباغ",283,57,True
92,Vitae سماعات,إلكترونيات,سماعات,69,92.55,الدباغ-الشايع,385,82,True
93,Porro سماعات,إلكترونيات,سماعات,11,14.54,آل حسين PLC,240,81,True
94,Aliquam سماعات,إلكترونيات,سماعات,99,142.53,آل مقطة Inc,129,81,True
95,Harum سماعات,إلكترونيات,سماعات,38,48.27,المهنا LLC,37,93,True
96,Dolores سماعات,إلكترونيات,سماعات,32,38.26,بقشان-العليان,415,92,True
97,Quo شواحن,إلكترونيات,شواحن,48,69.51,"آل رفيع, بقشان and آل رفيع",60,91,True
98,Fugiat شواحن,إلكترونيات,شواحن,315,418.58,"الحجار, المهنا and آل بن ظافر",316,48,True
99,Nulla شواحن,إلكترونيات,شواحن,199,255.75,"آل علي, الراشد and آل خضير",226,58,True
100,Ullam شواحن,إلكترونيات,شواحن,224,278.12,أبا الخيل Inc,317,27,True
101,Odio شواحن,إلكترونيات,شواحن,383,451.85,الجفالي-آل حسين,390,46,True
102,Nulla شواحن,إلكترونيات,شواحن,140,188.74,آل قصير and Sons,80,50,True
103,Repudiandae شواحن,إلكترونيات,شواحن,43,51.47,"الجفالي, حنبولي and شربتلي",209,77,True
104,Nobis شواحن,إلكترونيات,شواحن,245,303.16,حنبولي and Sons,118,56,True
105,Enim شواحن,إلكترونيات,شواحن,364,512.47,آل بن لافي PLC,36,49,True
106,Laudantium شواحن,إلكترونيات,شواحن,408,566.05,"آل معيض, حجار and المهنا",301,45,True
107,Dolores شواحن,إلكترونيات,شواحن,283,344.54,آل مقطة-آل مقطة,76,54,True
108,Rem شواحن,إلكترونيات,شواحن,41,47.88,المشاولة-مهنا,405,59,True
109,Consequatur شواحن,إلكترونيات,شواحن,427,563.97,الدباغ Inc,147,76,True
110,Harum شواحن,إلكترونيات,شواحن,357,443.12,"آل سعود, آل سعود and آل قصير",206,54,True
111,Dignissimos شواحن,إلكترونيات,شواحن,257,329.3,"أبو داوود, آل قصير and مهنا",306,25,True
112,Mollitia شواحن,إلكترونيات,شواحن,381,474.99,آل سلطان-بقشان,128,23,True
113,Suscipit شواحن,إلكترونيات,شواحن,497,672.09,شربتلي-الدباغ,440,93,True
114,Minus شواحن,إلكترونيات,شواحن,15,21.75,آل جعفر-شربتلي,344,54,True
115,Consectetur شواحن,إلكترونيات,شواحن,395,543.87,المشاولة-آل معيض,240,86,True
116,Voluptate شواحن,إلكترونيات,شواحن,474,584.65,العجلان-العليان,299,75,True
117,Itaque شواحن,إلكترونيات,شواحن,256,368.82,"آل الشيخ, آل حسين and العجلان",240,64,True
118,Tempora شواحن,إلكترونيات,شواحن,169,228.33,"الجفالي, آل جعفر and المهنا",439,40,True
119,Nam شواحن,إلكترونيات,شواحن,360,467.51,الراشد and Sons,339,71,True
120,Possimus شواحن,إلكترونيات,شواحن,286,332.05,أبو داوود-آل مقطة,45,60,True
121,Labore شواحن,إلكترونيات,شواحن,64,92.23,"بقشان, آل سعود and بقشان",206,85,True
122,Placeat شواحن,إلكترونيات,شواحن,5,6.74,مهنا-آل بن لافي,277,79,True
123,Aperiam شواحن,إلكترونيات,شواحن,101,131.86,شربتلي Group,318,83,True
124,Ad شواحن,إلكترونيات,شواحن,394,459.2,آل صفوان Group,136,90,True
125,Odit شواحن,إلكترونيات,شواحن,152,194.78,الراشد and Sons,357,82,True
126,Voluptas شواحن,إلكترونيات,شواحن,327,435.78,فصيل LLC,122,40,True
127,Dolore شواحن,إلكترونيات,شواحن,12,15.79,آل حسين-فصيل,47,48,True
128,Magni شواحن,إلكترونيات,شواحن,472,558.87,آل حسين-الحجار,484,35,True
129,Vel كيابل,إلكترونيات,كيابل,83,107.86,"آل صفوان, آل بن لافي and الخرافي",366,57,True
130,Sunt كيابل,إلكترونيات,كيابل,144,183.55,آل عواض-الراشد,247,80,True
131,Ullam كيابل,إلكترونيات,كيابل,287,342.5,آل خضير Inc,97,96,True
132,Error كيابل,إلكترونيات,كيابل,455,541.88,آل جعفر-آل سعود,35,55,True
133,Rerum كيابل,إلكترونيات,كيابل,442,563.32,المغاولة Ltd,478,84,True
134,Numquam كيابل,إلكترونيات,كيابل,6,7.41,آل الشيخ Ltd,152,95,True
135,Laboriosam كيابل,إلكترونيات,كيابل,342,443.54,الراشد Ltd,76,77,True
136,Delectus كيابل,إلكترونيات,كيابل,181,226.2,آل جعفر-آل عواض,390,89,True
137,Molestiae كيابل,إلكترونيات,كيابل,482,600.83,آل خضير Inc,96,50,True
138,Ipsam كيابل,إلكترونيات,كيابل,124,174.44,أبا الخيل-آل سعود,210,25,True
139,Modi كيابل,إلكترونيات,كيابل,247,336.31,فصيل Ltd,415,68,True
140,Dicta كيابل,إلكترونيات,كيابل,344,477.38,المغاولة PLC,333,39,True
141,Accusamus كيابل,إلكترونيات,كيابل,23,27.32,"فصيل, آل صفوان and الشايع",494,95,True
142,Laudantium كيابل,إلكترونيات,كيابل,56,79.09,"آل علي, شربتلي and آل سلطان",225,32,True
143,Neque كيابل,إلكترونيات,كيابل,238,274.8,"مهنا, الشايع and آل علي",73,72,True
144,Commodi كيابل,إلكترونيات,كيابل,84,98.49,آل سعود Inc,400,53,True
145,Repudiandae كيابل,إلكترونيات,كيابل,359,455.66,"الحكير, الجفالي and الراشد",41,62,True
146,Ipsam كيابل,إلكترونيات,كيابل,444,581.68,آل قصير LLC,488,60,True
147,Tenetur كيابل,إلكترونيات,كيابل,459,632.42,آل قصير PLC,446,89,False
148,Sapiente كيابل,إلكترونيات,كيابل,40,48.82,"حجار, آل مقطة and آل العسكري",350,56,True
149,Unde كيابل,إلكترونيات,كيابل,387,455.54,آل علي-المغاولة,500,32,True
150,Sequi كيابل,إلكترونيات,كيابل,365,515.3,"آل عطفة, الخرافي and آل مقطة",227,41,True
151,Tenetur كيابل,إلكترونيات,كيابل,467,541.11,آل قصير Group,166,27,True
152,Molestiae كيابل,إلكترونيات,كيابل,196,250.72,آل قصير Group,125,87,True
153,Tempore كيابل,إلكترونيات,كيابل,354,491.27,"آل جعفر, المغاولة and آل الشيخ",87,42,True
154,Magni كيابل,إلكترونيات,كيابل,450,569.14,آل سعود-الحكير,349,50,True
155,Reiciendis كيابل,إلكترونيات,كيابل,303,361.46,الحجار-المهنا,236,52,True
156,Vero كيابل,إلكترونيات,كيابل,346,398.88,العقيل Inc,411,79,True
157,Ad كيابل,إلكترونيات,كيابل,351,461.21,"آل جعفر, آل الشيخ and آل محمد بن علي بن جماز",37,76,True
158,Esse كيابل,إلكترونيات,كيابل,305,378.12,آل بن لافي Group,492,74,True
159,Quae كيابل,إلكترونيات,كيابل,238,334.05,شربتلي-المشاولة,101,69,True
160,Nesciunt كيابل,إلكترونيات,كيابل,59,72.05,الخرافي-آل حسين,292,65,True
161,Tempore مياه,استهلاكية,مياه,363,449.6,"المهنا, حنبولي and آل سلطان",500,70,True
162,Hic مياه,استهلاكية,مياه,294,414.4,أبا الخيل Inc,398,26,True
163,Quaerat مياه,استهلاكية,مياه,386,501.42,آل سلطان PLC,462,56,True
164,Itaque مياه,استهلاكية,مياه,122,162.52,بن لادن-شربتلي,180,48,True
165,Totam مياه,استهلاكية,مياه,322,394.51,"فصيل, آل جعفر and أبا الخيل",386,37,True
166,Voluptatem مياه,استهلاكية,مياه,467,624.96,آل قصير-آل بن لافي,20,59,True
167,Exercitationem مياه,استهلاكية,مياه,22,29.13,الراشد Inc,374,36,True
168,Odit مياه,استهلاكية,مياه,156,194.69,"حجار, آل بن لافي and أبا الخيل",212,42,True
169,Vel مياه,استهلاكية,مياه,407,533.91,"كانو, آل عايض and آل رفيع",497,66,True
170,Accusantium مياه,استهلاكية,مياه,472,581.39,"آل سعود, آل الشيخ and آل صفوان",84,52,True
171,Praesentium مياه,استهلاكية,مياه,488,631.74,المغاولة-المغاولة,412,57,True
172,Facilis مياه,استهلاكية,مياه,178,247.65,الحجار and Sons,239,29,True
173,Fugiat مياه,استهلاكية,مياه,499,607.62,"آل رفيع, آل العسكري and الجابر",346,70,True
174,Nobis مياه,استهلاكية,مياه,416,547.95,المغاولة-آل جعفر,46,70,False
175,Fuga مياه,استهلاكية,مياه,279,331.19,"بقشان, شربتلي and آل جعفر",188,53,True
176,Praesentium مياه,استهلاكية,مياه,426,571.51,المشاولة-الحجار,190,33,True
177,Aspernatur مياه,استهلاكية,مياه,246,284.75,بقشان-آل صفوان,452,91,True
178,Maxime مياه,استهلاكية,مياه,317,385.6,آل محمد بن علي بن جماز Inc,32,79,True
179,Rem مياه,استهلاكية,مياه,159,213.82,"آل رفيع, آل عواض and المشاولة",59,37,False
180,A مياه,استهلاكية,مياه,24,29.79,آل الشيخ and Sons,252,34,True
181,Aperiam مياه,استهلاكية,مياه,459,601.87,الحجار-الحكير,198,78,True
182,Distinctio مياه,استهلاكية,مياه,491,674.11,آل بن ظافر PLC,484,89,True
183,Ullam مياه,استهلاكية,مياه,385,526.67,آل عواض-أبو داوود,453,73,True
184,Expedita مياه,استهلاكية,مياه,431,558.92,أبو داوود-آل معيض,208,55,False
185,Autem مياه,استهلاكية,مياه,194,235.75,"الحجار, آل رفيع and المشاولة",227,50,True
186,Veniam مياه,استهلاكية,مياه,55,79.44,آل عايض and Sons,188,89,True
187,Quas مياه,استهلاكية,مياه,335,421.3,الخرافي Inc,203,55,True
188,Omnis مياه,استهلاكية,مياه,67,96.13,أبا الخيل-أبو داوود,421,78,True
189,Commodi مياه,استهلاكية,مياه,113,151.7,"العجلان, آل الشيخ and الحجار",305,22,True
190,Eligendi مياه,استهلاكية,مياه,175,214.04,بقشان-أبا الخيل,64,92,True
191,Soluta مياه,استهلاكية,مياه,429,591.83,العجلان LLC,106,95,True
192,Rerum مياه,استهلاكية,مياه,450,548.95,آل عطفة-المهنا,396,38,True
193,Exercitationem عصائر,استهلاكية,عصائر,310,356.76,آل الشيخ Group,439,38,True
194,Alias عصائر,استهلاكية,عصائر,281,344.28,المهنا LLC,89,34,True
195,Tempora عصائر,استهلاكية,عصائر,18,21.41,"آل الشيخ, الجابر and آل الشيخ",183,50,True
196,Unde عصائر,استهلاكية,عصائر,13,15.63,أبا الخيل-آل خضير,26,36,True
197,Enim عصائر,استهلاكية,عصائر,274,324.44,"آل قصير, الدباغ and العليان",32,80,True
198,Assumenda عصائر,استهلاكية,عصائر,190,247.75,آل معيض Inc,55,77,True
199,Aperiam عصائر,استهلاكية,عصائر,489,652.59,المغاولة Group,372,86,True
200,Voluptates عصائر,استهلاكية,عصائر,334,480.7,العجلان-آل حسين,31,81,True
201,Repellendus عصائر,استهلاكية,عصائر,223,302.35,المشاولة and Sons,251,76,True
202,Tempore عصائر,استهلاكية,عصائر,46,57.35,آل جعفر-بن لادن,75,28,True
203,Reiciendis عصائر,استهلاكية,عصائر,324,434.14,الراشد Ltd,280,61,True
204,Delectus عصائر,استهلاكية,عصائر,310,405.84,آل مقطة LLC,232,84,True
205,Ipsam عصائر,استهلاكية,عصائر,55,76.34,أبو داوود-أبو داوود,58,90,True
206,Odio عصائر,استهلاكية,عصائر,115,147.09,آل عواض-آل جعفر,454,49,True
207,Eligendi عصائر,استهلاكية,عصائر,428,550.43,بن لادن Inc,212,32,True
208,Dolor عصائر,استهلاكية,عصائر,165,222.67,آل صفوان Group,191,39,True
209,Omnis عصائر,استهلاكية,عصائر,247,289.02,الدباغ-آل رفيع,425,30,True
210,Quidem عصائر,استهلاكية,عصائر,54,74.16,آل علي-الشايع,190,36,True
211,Inventore عصائر,استهلاكية,عصائر,305,438.28,آل محمد بن علي بن جماز-آل رفيع,287,62,True
212,Consectetur عصائر,استهلاكية,عصائر,215,270.06,مهنا LLC,340,74,True
213,Voluptatibus عصائر,استهلاكية,عصائر,374,435.87,"حجار, آل بن ظافر and آل علي",147,96,True
214,Itaque عصائر,استهلاكية,عصائر,58,76.76,آل حسين Ltd,108,39,True
215,Expedita عصائر,استهلاكية,عصائر,119,167.1,الخرافي-المشاولة,179,91,True
216,Architecto عصائر,استهلاكية,عصائر,395,487.26,"أبا الخيل, آل محمد بن علي بن جماز and آل عايض",115,74,True
217,Aliquam عصائر,استهلاكية,عصائر,397,554.02,الشايع-المهيدب,314,91,False
218,Quo عصائر,استهلاكية,عصائر,480,646.73,آل خضير Group,355,54,False
219,Corporis عصائر,استهلاكية,عصائر,144,195.96,آل رفيع Inc,158,63,True
220,Assumenda عصائر,استهلاكية,عصائر,97,136.86,آل سعود and Sons,289,71,True
221,Natus عصائر,استهلاكية,عصائر,384,514.54,مهنا-شربتلي,15,31,True
222,Tenetur عصائر,استهلاكية,عصائر,115,145.23,بن لادن PLC,232,63,True
223,Facilis عصائر,استهلاكية,عصائر,164,224.1,آل العسكري Inc,397,92,True
224,Eius عصائر,استهلاكية,عصائر,457,532.76,"الشايع, آل سعود and آل حسين",80,99,False
225,Iure مكسرات,استهلاكية,مكسرات,46,56.66,آل بن ظافر Group,338,74,True
226,Architecto مكسرات,استهلاكية,مكسرات,231,294.35,بقشان Group,110,85,True
227,Nam مكسرات,استهلاكية,مكسرات,225,266.24,آل العسكري-الحكير,347,95,True
228,Vero مكسرات,استهلاكية,مكسرات,346,429.91,آل عايض-الجفالي,112,70,True
229,Error مكسرات,استهلاكية,مكسرات,33,38.03,آل معيض LLC,154,47,True
230,Occaecati مكسرات,استهلاكية,مكسرات,396,485.76,آل بن ظافر PLC,167,35,False
231,Sit مكسرات,استهلاكية,مكسرات,387,495.05,"آل قصير, فصيل and آل مقطة",66,68,True
232,Praesentium مكسرات,استهلاكية,مكسرات,122,158.61,المهيدب-العقيل,426,65,True
233,Assumenda مكسرات,استهلاكية,مكسرات,446,612.19,آل معيض Group,223,22,True
234,Deserunt مكسرات,استهلاكية,مكسرات,44,61.98,آل عطفة-فصيل,294,74,True
235,Qui مكسرات,استهلاكية,مكسرات,368,493.87,شربتلي PLC,148,34,True
236,Ad مكسرات,استهلاكية,مكسرات,499,622.47,الجفالي-العقيل,410,99,True
237,Quisquam مكسرات,استهلاكية,مكسرات,358,510.48,الجفالي-بقشان,45,75,True
238,Provident مكسرات,استهلاكية,مكسرات,129,165.21,الحكير-آل معيض,205,87,True
239,Ducimus مكسرات,استهلاكية,مكسرات,450,559.39,أبو داوود PLC,173,48,True
240,Est مكسرات,استهلاكية,مكسرات,91,106.74,آل معيض Inc,324,34,True
241,Optio مكسرات,استهلاكية,مكسرات,104,147.86,"الجفالي, بن لادن and آل عواض",178,64,True
242,Dolore مكسرات,استهلاكية,مكسرات,424,569.7,آل قصير Ltd,75,50,True
243,Excepturi مكسرات,استهلاكية,مكسرات,136,164.45,المهنا-آل بن لافي,308,39,True
244,Est مكسرات,استهلاكية,مكسرات,340,398.69,"الحكير, الجفالي and آل عايض",487,100,True
245,Dolorum مكسرات,استهلاكية,مكسرات,391,515.78,بن لادن LLC,296,77,True
246,Voluptatem مكسرات,استهلاكية,مكسرات,456,601.62,بن لادن-آل العسكري,325,99,True
247,Voluptatibus مكسرات,استهلاكية,مكسرات,326,405.82,"الجفالي, بقشان and بقشان",225,28,True
248,Dicta مكسرات,استهلاكية,مكسرات,328,407.0,"آل عطفة, العليان and المهنا",140,95,True
249,Ipsa مكسرات,استهلاكية,مكسرات,264,309.48,العليان Inc,236,77,False
250,Consectetur مكسرات,استهلاكية,مكسرات,193,270.11,آل عواض PLC,39,31,True
251,Est مكسرات,استهلاكية,مكسرات,264,334.05,المغاولة Group,297,90,True
252,A مكسرات,استهلاكية,مكسرات,383,543.39,حنبولي-آل عطفة,230,93,True
253,Delectus مكسرات,استهلاكية,مكسرات,169,225.02,آل عايض-أبو داوود,256,39,True
254,Assumenda مكسرات,استهلاكية,مكسرات,235,277.55,آل سلطان PLC,460,63,True
255,Voluptatibus مكسرات,استهلاكية,مكسرات,48,62.47,آل رفيع PLC,88,25,True
256,Maiores مكسرات,استهلاكية,مكسرات,229,331.43,الحجار Ltd,268,86,True
257,Ut شوكولاتة,استهلاكية,شوكولاتة,191,241.01,بن لادن-آل خضير,144,69,True
258,Labore شوكولاتة,استهلاكية,شوكولاتة,178,240.95,أبو داوود-آل سعود,26,100,True
259,Dolore شوكولاتة,استهلاكية,شوكولاتة,38,47.46,"الراشد, شربتلي and العليان",285,69,True
260,Totam شوكولاتة,استهلاكية,شوكولاتة,375,527.05,آل عايض-المهيدب,493,97,True
261,Voluptate شوكولاتة,استهلاكية,شوكولاتة,175,205.53,"الجفالي, آل عواض and كانو",339,38,True
262,Repudiandae شوكولاتة,استهلاكية,شوكولاتة,163,234.77,الحكير LLC,357,70,True
263,Voluptas شوكولاتة,استهلاكية,شوكولاتة,367,525.32,آل سعود-آل عايض,158,91,True
264,A شوكولاتة,استهلاكية,شوكولاتة,410,511.9,"بقشان, الخرافي and بقشان",65,87,True
265,Aliquid شوكولاتة,استهلاكية,شوكولاتة,348,444.4,حجار LLC,185,22,True
266,Similique شوكولاتة,استهلاكية,شوكولاتة,97,139.23,شربتلي PLC,174,82,True
267,Corporis شوكولاتة,استهلاكية,شوكولاتة,75,89.74,آل سلطان-الجابر,151,32,True
268,Autem شوكولاتة,استهلاكية,شوكولاتة,281,393.55,الجفالي LLC,452,87,False
269,Doloremque شوكولاتة,استهلاكية,شوكولاتة,177,250.09,"آل حسين, كانو and شربتلي",316,36,True
270,Iusto شوكولاتة,استهلاكية,شوكولاتة,83,99.49,آل الشيخ-آل محمد بن علي بن جماز,425,99,True
271,Eos شوكولاتة,استهلاكية,شوكولاتة,89,121.61,آل جعفر LLC,22,72,True
272,Facere شوكولاتة,استهلاكية,شوكولاتة,373,455.53,آل الشيخ Inc,227,98,True
273,Molestiae شوكولاتة,استهلاكية,شوكولاتة,388,537.43,الدباغ-آل صفوان,119,88,True
274,Neque شوكولاتة,استهلاكية,شوكولاتة,499,694.9,الحكير-الجفالي,240,44,True
275,Quisquam شوكولاتة,استهلاكية,شوكولاتة,489,646.03,آل خضير-العقيل,225,79,True
276,Repellat شوكولاتة,استهلاكية,شوكولاتة,403,509.62,"مهنا, آل عواض and آل صفوان",270,73,True
